Szybkość Ścinania;Lepkość
0,03633;216,4
0,01284;584,3
0,03407;232,2
0,02699;307,8
0,03298;270,3
0,03739;224,7
0,0382;232,7
0,04369;209,7
0,04786;189,9
0,05155;179,7
0,05687;167,2
0,06259;154,8
0,06844;144,3
0,07488;135,1
0,08226;126,2
0,09005;118,1
0,09877;110,8
0,1082;104,5
0,1186;98,74
0,13;93,39
0,1426;88,09
0,156;83,11
0,171;78,73
0,1875;75,21
0,2057;71,94
0,2251;68,94
0,247;66,15
0,2712;63,2
0,2971;60,24
0,3257;57,63
0,357;55,12
0,3914;52,55
0,4287;50,34
0,4701;48,4
0,5148;46,51
0,5646;45,54
0,619;44,31
0,6787;42,75
0,7441;42,22
0,8156;42,6
0,8945;43,46
0,9805;44,37
1,075;45,41
1,179;45,66
1,292;45,28
1,416;44,85
1,552;44,03
1,701;43,13
1,865;42,42
2,044;41,67
2,24;40,4
2,455;38,69
2,691;37,26
2,949;35,89
3,233;34,4
3,543;32,2
3,884;29,92
4,256;28,29
4,665;27
5,113;26,18
5,604;25,3
6,142;23,84
6,732;22,16
7,379;20,77
8,088;19,61
8,864;18
9,715;16,58
10,65;15,46
11,67;14,07
12,79;12,92
14,02;12,01
15,37;11,13
16,84;10,29
18,46;9,56
20,23;8,91
22,18;8,294
24,31;7,719
26,64;7,185
29,2;6,694
32;6,237
35,08;5,813
38,44;5,419
42,14;5,053
46,18;4,713
50,62;4,397
55,48;4,103
60,81;3,83
66,65;3,576
73,04;3,338
80,06;3,117
87,75;2,911
96,18;2,718
105,4;2,539
115,5;2,371
126,6;2,214
138,8;2,068
152,1;1,932
166,7;1,803
182,7;1,681
200,3;1,565
219,5;1,455
240,6;1,347
263,7;1,239
289;1,133
316,8;1,04
347,2;0,9648
380,6;0,8965
417,1;0,8219
457,2;0,7727
