Szybkość Ścinania;Lepkość
0,04018;236,7
0,033;298,3
0,0394;266,3
0,04508;224,8
0,04574;233,7
0,05257;207
0,05723;190,2
0,06191;181
0,06858;167
0,07502;155,6
0,08207;146,1
0,09006;136,9
0,09873;128,4
0,1082;120,8
0,1186;113,8
0,13;107,2
0,1424;101
0,1561;95,33
0,1711;90,19
0,1879;85,39
0,2059;81,18
0,2256;77,32
0,2474;73,79
0,2711;70,66
0,2972;67,79
0,3256;65,13
0,3569;62,65
0,3912;60,33
0,4289;58,13
0,4705;56,12
0,5157;54,22
0,5652;52,26
0,6194;50,27
0,6789;48,2
0,7441;45,96
0,8159;43,55
0,8945;41,04
0,9804;38,48
1,075;35,88
1,178;33,25
1,291;30,73
1,415;28,35
1,551;26,04
1,7;23,94
1,863;22,06
2,042;20,41
2,238;18,88
2,453;17,37
2,688;15,96
2,946;14,69
3,229;13,51
3,539;12,46
3,88;11,54
4,254;10,67
4,663;9,847
5,111;9,113
5,601;8,451
6,139;7,813
6,729;7,241
7,375;6,726
8,083;6,232
8,86;5,788
9,71;5,377
10,64;4,994
11,67;4,647
12,79;4,324
14,01;4,024
15,36;3,749
16,84;3,496
18,46;3,263
20,23;3,047
22,18;2,846
24,31;2,661
26,64;2,49
29,2;2,332
32;2,186
35,08;2,05
38,44;1,925
42,14;1,808
46,18;1,7
50,62;1,601
55,48;1,508
60,81;1,422
66,64;1,343
73,05;1,268
80,06;1,198
87,75;1,134
96,18;1,075
105,4;1,02
115,5;0,9679
126,6;0,9202
138,8;0,8757
152,1;0,8342
166,7;0,7953
182,7;0,7587
200,3;0,7246
219,5;0,6925
240,6;0,6626
263,7;0,6349
289;0,609
316,8;0,5846
347,2;0,5617
380,6;0,5405
417,1;0,5209
457,2;0,5036
