Szybkość Ścinania;Lepkość
0,01944;894
0,02066;856,4
0,02281;795,1
0,0251;731,5
0,02733;679,2
0,02994;629,4
0,0329;582,4
0,03609;538,7
0,03958;498,8
0,04332;462,6
0,04746;429
0,05199;399,7
0,05701;373,1
0,0625;349,1
0,06852;326,3
0,07507;305,4
0,08286;283
0,09032;266,5
0,09953;250,5
0,1087;237,3
0,1189;223,9
0,1303;211
0,1429;199,5
0,1565;189
0,1716;179,3
0,1881;170,7
0,2061;162
0,2259;153,7
0,2476;146,1
0,2715;138,7
0,2977;131,8
0,3263;125,4
0,3576;119,1
0,3919;113
0,4296;107,2
0,4709;101,6
0,5163;96,18
0,5659;91,13
0,6203;86,47
0,6799;82,53
0,7454;78,74
0,817;74,9
0,8955;71,75
0,9814;68,98
1,076;66,45
1,179;64,11
1,292;61,58
1,416;59,12
1,552;56,36
1,701;53,18
1,865;50,91
2,044;49,72
2,24;48,61
2,455;47,5
2,691;45,63
2,949;42,51
3,233;38,78
3,543;35,68
3,884;33,71
4,256;32,1
4,665;29,94
5,11;27,12
5,60;25,19
6,14;
6,73;22,20
7,38;20,70
8,09;19,41
8,86;17,07
9,72;16,90
10,65;15,75
11,67;14,75
12,79;13,81
14,02;12,97
15,37;12,20
16,84;11,47
18,46;10,77
20,23;10,12
22,18;9,53
24,31;8,97
26,64;8,45
29,2;7,965
32;7,511
35,08;7,084
38,44;6,684
42,14;6,309
46,18;5,954
50,62;5,62
55,48;5,306
60,81;5,007
66,64;4,722
73,05;4,451
80,06;4,194
87,75;3,949
96,18;3,703
105,4;3,51
115,5;3,379
126,6;3,228
138,8;3,077
152,1;2,932
166,7;2,756
182,7;2,607
200,3;2,539
219,5;2,481
240,6;2,38
263,7;2,267
289;2,073
316,8;1,795
347,2;1,498
380,6;1,297
417,1;1,182
457,2;1,157
