Szybkość Ścinania;Lepkość
0,02769;63,24
0,0133;123,3
0,02791;61,99
0,02096;82,46
0,02983;59,24
0,0282;63,58
0,03262;58,01
0,03708;53,07
0,03814;51,73
0,0438;45,04
0,04672;43,26
0,05205;39,95
0,05664;37,88
0,06231;36,34
0,06886;33,97
0,07431;31,84
0,08184;29,96
0,08981;28,59
0,0985;27,26
0,108;25,79
0,1181;24,38
0,1296;23,1
0,142;21,97
0,1557;20,99
0,1706;20,12
0,1871;19,29
0,205;18,47
0,2245;17,69
0,2461;17,04
0,2698;16,5
0,2958;16,02
0,3241;15,6
0,3555;15,32
0,3904;15,17
0,4277;15,2
0,4688;15,32
0,5141;15,42
0,5631;15,39
0,6172;15,36
0,6767;15,38
0,7424;15,27
0,8143;15,03
0,8924;14,66
0,978;14,21
1,072;13,78
1,175;13,37
1,288;12,98
1,411;12,59
1,547;12,2
1,696;12,79
1,861;12,31
2,039;12,78
2,235;12,22
2,45;9,649
2,685;9,056
2,943;8,456
3,226;7,865
3,535;7,3
3,875;6,772
4,247;6,267
4,655;5,776
5,102;5,319
5,592;4,907
6,129;4,521
6,717;4,158
7,362;3,83
8,069;3,524
8,844;3,245
9,694;2,989
10,62;2,753
11,64;2,539
12,76;2,341
14;2,158
15,35;1,991
16,82;1,838
18,43;1,697
20,2;1,568
22,15;1,449
24,27;1,339
26,6;1,239
29,16;1,147
31,96;1,061
35,03;0,9832
38,39;0,9113
42,08;0,8449
46,12;0,7838
50,55;0,7276
55,4;0,6756
60,72;0,6278
66,55;0,5836
72,95;0,5425
79,95;0,5047
87,63;0,4699
96,1;0,4376
105,3;0,4079
115,5;0,3805
126,5;0,355
138,7;0,3316
152;0,3099
166,6;0,2899
182,6;0,2713
200,2;0,2541
219,4;0,2383
240,5;0,2235
263,7;0,2099
289;0,1974
316,8;0,1857
347,2;0,175
380,6;0,1651
417,1;0,1562
457,2;0,1481
