Szybkość Ścinania;Lepkość
0,01116;23,91
0,01167;23,67
0,01311;22,13
0,01422;21,7
0,01571;21,04
0,01726;20,34
0,01887;19,44
0,02063;18,44
0,0226;17,55
0,02477;16,8
0,02717;16,17
0,02977;15,66
0,0326;15,24
0,0357;15
0,03917;14,89
0,04296;14,83
0,04702;14,84
0,05159;14,91
0,05657;14,98
0,06193;15,1
0,06788;15,22
0,07464;15,16
0,08129;15,57
0,09015;15,73
0,09837;15,73
0,1078;15,44
0,118;14,92
0,1293;14,28
0,1412;13,57
0,1551;12,79
0,17;12,05
0,1866;11,25
0,2047;10,46
0,2247;9,693
0,2463;8,98
0,2699;8,308
0,2959;7,682
0,3243;7,099
0,3554;6,563
0,3895;6,068
0,4269;5,609
0,4679;5,183
0,5129;4,789
0,5621;4,422
0,6161;4,084
0,6753;3,771
0,7401;3,482
0,8112;3,215
0,8891;2,967
0,9745;2,738
1,068;2,526
1,171;2,33
1,283;2,149
1,406;1,981
1,541;1,827
1,689;1,686
1,852;1,553
2,029;1,435
2,224;1,327
2,438;1,227
2,672;1,134
2,929;1,048
3,21;0,9686
3,518;0,8958
3,856;0,8293
4,226;0,7684
4,632;0,7116
5,077;0,6592
5,565;0,6115
6,099;0,5673
6,685;0,5265
7,327;0,4892
8,03;0,4545
8,802;0,4227
9,647;0,3934
10,57;0,3662
11,59;0,3413
12,7;0,3181
13,92;0,2967
15,26;0,277
16,72;0,2588
18,33;0,2419
20,1;0,2263
22,02;0,2119
24,13;0,1986
26,45;0,1863
28,99;0,1748
31,78;0,1642
34,83;0,1544
38,19;0,1454
41,91;0,1368
45,95;0,129
50,36;0,1217
55,2;0,115
60,5;0,1088
66,31;0,103
72,68;0,09758
79,66;0,09258
87,31;0,08793
95,7;0,08354
104,9;0,07949
115;0,0757
126;0,07216
138,1;0,06887
151,4;0,06577
165,9;0,06289
181,8;0,0602
199,4;0,05767
218,8;0,05528
239,8;0,05307
262,8;0,05097
288;0,04904
315,7;0,04723
346;0,04556
379,2;0,044
415,7;0,04256
455,6;0,04124
